2024_04_18__15:04:32.569915: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: serial, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:04:40.422996: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08809536844903382, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.511826: Iter 1, FPS: 0.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6427327124480672, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08784581535585628, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.597530: Iter 2, FPS: 11.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.018331030352067, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08822335130431841, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.687835: Iter 3, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.789999184823092, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08801366701569713, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.773955: Iter 4, FPS: 11.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.202794886724822, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08814723636082711, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.861759: Iter 5, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.742402566679639, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08788287197243294, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:40.942505: Iter 6, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.389054375127282, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08802140454466939, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:41.031267: Iter 7, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.384487737470252, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08814404274549897, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:41.120073: Iter 8, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.394314122329227, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08817550980557631, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:41.209790: Iter 9, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.388374056807413, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08819162920026352, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:04:41.296642: Iter 10, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.146289091566214, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08801296945619841, 'throttle': 0.0, 'brake': 0.0}
