2024_04_18__15:07:28.185684: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:07:35.324536: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08794602241979893, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.413298: Iter 1, FPS: 0.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6611357438396592, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0876708549536771, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.506050: Iter 2, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266258202632901, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08802107562942163, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.594822: Iter 3, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.898683885720224, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08811039735386961, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.691614: Iter 4, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140782295036681, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08802261580433995, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.785613: Iter 5, FPS: 10.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.438084051096617, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08796870674303237, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.880050: Iter 6, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.745753506079597, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08800984515426324, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:35.972802: Iter 7, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.66685655719986, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08800533239244002, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:36.066590: Iter 8, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.898825485916225, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08784095314876506, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:36.159305: Iter 9, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.662355258976802, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08802247805117241, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:07:36.245121: Iter 10, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.785793819576057, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08782812948839991, 'throttle': 0.0, 'brake': 0.0}
