2024_04_16__20:40:57.244047: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_16__20:41:05.834680: Iter 0, FPS: -1.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.03554800810128056, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:05.925815: Iter 1, FPS: 0.5, STATE: {'speed': 0.4606863558292389, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.542560979032974, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.03301572932435287, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:06.023796: Iter 2, FPS: 10.9, STATE: {'speed': 1.3790355920791626, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.87593413717101, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.032907949743868015, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:06.110648: Iter 3, FPS: 10.2, STATE: {'speed': 2.2399442195892334, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.206261528054235, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0372208747708101, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:06.205700: Iter 4, FPS: 11.6, STATE: {'speed': 3.008704662322998, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.647382583509902, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.03403833753138197, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:06.294897: Iter 5, FPS: 10.5, STATE: {'speed': 4.218184947967529, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.520530352816056, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.022727847620865715, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:41:06.391316: Iter 6, FPS: 11.3, STATE: {'speed': 5.04596471786499, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.301959241524818, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.024148702899935315, 'throttle': 0.0, 'brake': 0.0045964717864990234}
2024_04_16__20:41:06.487243: Iter 7, FPS: 10.4, STATE: {'speed': 5.882019996643066, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.371312565836, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.02734864930482489, 'throttle': 0.0, 'brake': 0.08820199966430664}
2024_04_16__20:41:06.574564: Iter 8, FPS: 10.4, STATE: {'speed': 6.929140090942383, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.357763932207742, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.022500836474655006, 'throttle': 0.0, 'brake': 0.19291400909423828}
2024_04_16__20:41:06.662985: Iter 9, FPS: 11.5, STATE: {'speed': 7.585305690765381, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.549593012369339, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.018535708508627402, 'throttle': 0.0, 'brake': 0.2585305690765381}
2024_04_16__20:41:06.750935: Iter 10, FPS: 11.3, STATE: {'speed': 7.695517539978027, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.309394961563248, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.022621766759492845, 'throttle': 0.0, 'brake': 0.26955175399780273}
2024_04_16__20:41:06.848543: Iter 11, FPS: 11.4, STATE: {'speed': 7.255939960479736, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.370128602719525, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.030385490876436327, 'throttle': 0.0, 'brake': 0.22559399604797364}
2024_04_16__20:41:06.930520: Iter 12, FPS: 10.2, STATE: {'speed': 6.80363130569458, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.245102541304751, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.30236879115978843, 'throttle': 0.0, 'brake': 0.18036313056945802}
2024_04_16__20:41:07.019972: Iter 13, FPS: 12.2, STATE: {'speed': 6.404419422149658, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.198559778499051, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2952908218651978, 'throttle': 0.0, 'brake': 0.14044194221496584}
2024_04_16__20:41:07.119854: Iter 14, FPS: 11.1, STATE: {'speed': 5.942544460296631, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.092638238001037, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2852359192789973, 'throttle': 0.0, 'brake': 0.0942544460296631}
2024_04_16__20:41:07.218545: Iter 15, FPS: 10.1, STATE: {'speed': 5.392741680145264, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.086801772878234, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.24329966684808896, 'throttle': 0.0, 'brake': 0.03927416801452637}
2024_04_16__20:41:07.313412: Iter 16, FPS: 10.0, STATE: {'speed': 5.203612327575684, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.0453709380748, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.17018357889482477, 'throttle': 0.0, 'brake': 0.020361232757568362}
2024_04_16__20:41:07.400363: Iter 17, FPS: 10.7, STATE: {'speed': 4.94419527053833, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.653093465611086, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5976362978606669, 'throttle': 0.0, 'brake': 0.020361232757568362}
2024_04_16__20:41:07.488375: Iter 18, FPS: 11.5, STATE: {'speed': 5.015948295593262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.500727997608987, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5240182948674776, 'throttle': 0.0, 'brake': 0.001594829559326172}
2024_04_16__20:41:07.575655: Iter 19, FPS: 11.3, STATE: {'speed': 5.879558563232422, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.284778760109557, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.48865869656681027, 'throttle': 0.0, 'brake': 0.0879558563232422}
2024_04_16__20:41:07.664840: Iter 20, FPS: 11.6, STATE: {'speed': 6.635096073150635, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.59582867948732, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.465905706369097, 'throttle': 0.0, 'brake': 0.16350960731506348}
2024_04_16__20:41:07.761825: Iter 21, FPS: 11.2, STATE: {'speed': 7.15458869934082, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.21264793393732, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.6226866603133805, 'throttle': 0.0, 'brake': 0.21545886993408203}
2024_04_16__20:41:07.849762: Iter 22, FPS: 10.3, STATE: {'speed': 7.308665752410889, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.310862003269541, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5026477640622322, 'throttle': 0.0, 'brake': 0.2308665752410889}
2024_04_16__20:41:07.946844: Iter 23, FPS: 11.4, STATE: {'speed': 7.011423587799072, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.371854936664931, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3763223208949562, 'throttle': 0.0, 'brake': 0.20114235877990724}
2024_04_16__20:41:08.038818: Iter 24, FPS: 10.4, STATE: {'speed': 6.326639175415039, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.407469808366562, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.20249337143540835, 'throttle': 0.0, 'brake': 0.13266391754150392}
2024_04_16__20:41:08.127041: Iter 25, FPS: 10.8, STATE: {'speed': 5.9345383644104, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.760750991590085, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.09538002260057715, 'throttle': 0.0, 'brake': 0.09345383644104005}
2024_04_16__20:41:08.215055: Iter 26, FPS: 11.3, STATE: {'speed': 5.664186477661133, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.330199790376781, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3577751710597096, 'throttle': 0.0, 'brake': 0.06641864776611328}
2024_04_16__20:41:08.307750: Iter 27, FPS: 11.5, STATE: {'speed': 5.406067371368408, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.491495704015431, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.29031708903930037, 'throttle': 0.0, 'brake': 0.04060673713684082}
2024_04_16__20:41:08.394184: Iter 28, FPS: 10.9, STATE: {'speed': 5.091434955596924, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.905683336886828, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.18225903626290918, 'throttle': 0.0, 'brake': 0.009143495559692382}
2024_04_16__20:41:08.478985: Iter 29, FPS: 11.6, STATE: {'speed': 4.9183268547058105, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.625172189193309, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.11104888945102359, 'throttle': 0.0, 'brake': 0.009143495559692382}
2024_04_16__20:41:08.562990: Iter 30, FPS: 11.9, STATE: {'speed': 5.043257236480713, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.923528926818037, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.0333249127219738, 'throttle': 0.0, 'brake': 0.004325723648071289}
2024_04_16__20:41:08.649902: Iter 31, FPS: 11.9, STATE: {'speed': 5.959280967712402, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.904036691519343, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.024693695586151476, 'throttle': 0.0, 'brake': 0.09592809677124024}
