2024_04_16__03:29:37.461710: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__03:29:38.387394: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.099065612473668, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.455470: Iter 1, FPS: 1.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.080282285066708, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -11.717010257281434, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.537339: Iter 2, FPS: 14.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 14.477444919627356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -29.51919034377309, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.591936: Iter 3, FPS: 12.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.214439018139778, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -43.646224375996965, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.642721: Iter 4, FPS: 18.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 18.657106000622747, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -136.797882511637, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.704312: Iter 5, FPS: 19.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.690551192191954, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.871187831885653, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.772138: Iter 6, FPS: 16.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 16.23628783450561, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.875396033482335, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.837811: Iter 7, FPS: 14.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 14.74354972511635, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -26.80289202385369, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.889732: Iter 8, FPS: 15.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.227042196252691, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -87.39054898036596, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:38.954220: Iter 9, FPS: 19.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.638001507624743, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.0905592141325107, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.003949: Iter 10, FPS: 15.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.506662131586342, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.342599364240407, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.055989: Iter 11, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.108850321219677, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6172057018037336, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.121076: Iter 12, FPS: 19.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.054884447816388, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6182266409219617, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.172513: Iter 13, FPS: 15.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.468688686621329, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.7647680243845274, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.238124: Iter 14, FPS: 19.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.827099799568884, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.263653006359556, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.289556: Iter 15, FPS: 15.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.311143397411094, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -9.78178818969575, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.354723: Iter 16, FPS: 19.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.756588584967428, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.3820648486228406, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.421367: Iter 17, FPS: 15.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.206671017330143, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.4272493624749085, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.488228: Iter 18, FPS: 15.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.025969326889664, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.4267200324116291, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.539374: Iter 19, FPS: 15.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.069319594444085, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.758399430561238, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.604915: Iter 20, FPS: 19.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.828318307954863, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.713236284458418, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.670497: Iter 21, FPS: 15.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.257784762237355, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.771492218548519, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.721245: Iter 22, FPS: 15.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.248133202457556, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.730141397823144, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.788117: Iter 23, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.112225179217916, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9735713558986122, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.854756: Iter 24, FPS: 15.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.180473115788864, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9735523647768951, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.921410: Iter 25, FPS: 15.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.02155655596503, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.534587482610867, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:39.972292: Iter 26, FPS: 15.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.143859851821897, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.3320842642063362, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:40.024901: Iter 27, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.990105757819837, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.5132453946832567, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:40.089293: Iter 28, FPS: 19.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.008166483880032, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.6449036152090504, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:29:40.154987: Iter 29, FPS: 15.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.529857819905214, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.9381805587561696, 'throttle': 0.0, 'brake': 0.0}
