2024_04_16__19:02:51.710019: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:02:54.596976: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08927439874032345, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:54.687858: Iter 1, FPS: 0.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.34638557898356664, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08906023866365281, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:54.779969: Iter 2, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.125386270135781, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08923585101562098, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:54.873715: Iter 3, FPS: 11.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.976836209942293, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08929952340875247, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:54.971318: Iter 4, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.667100712105798, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0892393937769771, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.068067: Iter 5, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.1420705831147, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0894026798802568, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.164338: Iter 6, FPS: 10.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.334667166032604, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08942737277751844, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.258350: Iter 7, FPS: 10.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.393259986123502, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.089526508126267, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.351038: Iter 8, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.746001286147271, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08933249490978062, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.443923: Iter 9, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.906534084999272, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08910932644317615, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:02:55.538336: Iter 10, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.766054221660943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08925357125492628, 'throttle': 0.0, 'brake': 0.0}
