2024_04_18__14:56:09.285416: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:56:26.142564: Iter 18, FPS: 10.3, STATE: {'speed': 4.7888898849487305, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.332783145530422, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.3077133314828561, 'throttle': 0.0, 'brake': 0.0056079387664794925}
2024_04_18__14:56:26.231301: Iter 19, FPS: 9.0, STATE: {'speed': 4.710695266723633, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.988982115493833, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.3296197832922492, 'throttle': 0.0, 'brake': 0.0056079387664794925}
2024_04_18__14:56:26.363948: Iter 20, FPS: 11.1, STATE: {'speed': 5.545592308044434, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.14338698278931, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.30918483986064255, 'throttle': 0.0, 'brake': 0.05455923080444336}
2024_04_18__14:56:26.463723: Iter 21, FPS: 7.6, STATE: {'speed': 6.548473358154297, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.593892013050263, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2667449976813302, 'throttle': 0.0, 'brake': 0.1548473358154297}
2024_04_18__14:56:26.566493: Iter 22, FPS: 10.1, STATE: {'speed': 7.1331706047058105, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.128037708148206, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.20524501286173275, 'throttle': 0.0, 'brake': 0.21331706047058108}
2024_04_18__14:56:26.681184: Iter 23, FPS: 9.6, STATE: {'speed': 7.975050449371338, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.637647058823529, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.15071099324996118, 'throttle': 0.0, 'brake': 0.2975050449371338}
2024_04_18__14:56:26.758943: Iter 24, FPS: 8.8, STATE: {'speed': 8.15064811706543, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.794915506572643, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.06950734410717235, 'throttle': 0.0, 'brake': 0.315064811706543}
2024_04_18__14:56:26.870160: Iter 25, FPS: 13.0, STATE: {'speed': 7.634335994720459, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 13.02130011083136, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.029848709985070165, 'throttle': 0.0, 'brake': 0.2634335994720459}
2024_04_18__14:56:26.986770: Iter 26, FPS: 9.0, STATE: {'speed': 7.001977920532227, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.991390842051105, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0675016140289274, 'throttle': 0.0, 'brake': 0.20019779205322266}
2024_04_18__14:56:27.100008: Iter 27, FPS: 8.6, STATE: {'speed': 6.404457092285156, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.649565387748368, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.1241110706603788, 'throttle': 0.0, 'brake': 0.14044570922851562}
2024_04_18__14:56:27.206335: Iter 28, FPS: 8.9, STATE: {'speed': 5.935811519622803, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.862915802063215, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.11256591120236947, 'throttle': 0.0, 'brake': 0.09358115196228028}
2024_04_18__14:56:27.313012: Iter 29, FPS: 9.5, STATE: {'speed': 5.658665657043457, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.4588803067035, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09672893439736602, 'throttle': 0.0, 'brake': 0.06586656570434571}
2024_04_18__14:56:27.419324: Iter 30, FPS: 9.3, STATE: {'speed': 5.330588340759277, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.287220921967757, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.061440501127326574, 'throttle': 0.0, 'brake': 0.03305883407592774}
2024_04_18__14:56:27.536459: Iter 31, FPS: 9.5, STATE: {'speed': 5.205295085906982, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.49536924891504, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.02537351210766664, 'throttle': 0.0, 'brake': 0.020529508590698242}
2024_04_18__14:56:27.664567: Iter 32, FPS: 8.6, STATE: {'speed': 4.841936111450195, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.565835128815186, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.23434502766566828, 'throttle': 0.0, 'brake': 0.020529508590698242}
2024_04_18__14:56:27.760307: Iter 33, FPS: 7.9, STATE: {'speed': 4.909695625305176, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.895279364206896, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.07936367467115446, 'throttle': 0.0, 'brake': 0.020529508590698242}
2024_04_18__14:56:27.868020: Iter 34, FPS: 10.6, STATE: {'speed': 6.0304388999938965, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.55460239411562, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.05086993007511598, 'throttle': 0.0, 'brake': 0.10304388999938965}
2024_04_18__14:56:27.997735: Iter 35, FPS: 9.3, STATE: {'speed': 6.907145023345947, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.283972915961122, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.009934815029555566, 'throttle': 0.0, 'brake': 0.19071450233459475}
2024_04_18__14:56:28.085436: Iter 36, FPS: 7.8, STATE: {'speed': 7.8461127281188965, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.768984844724178, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.006312960392224176, 'throttle': 0.0, 'brake': 0.28461127281188964}
2024_04_18__14:56:28.208656: Iter 37, FPS: 11.4, STATE: {'speed': 8.370349884033203, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.40236784515217, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.006856630301067146, 'throttle': 0.0, 'brake': 0.33703498840332036}
2024_04_18__14:56:28.322346: Iter 38, FPS: 8.1, STATE: {'speed': 8.12047004699707, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.050765669447314, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0036167799627917496, 'throttle': 0.0, 'brake': 0.31204700469970703}
2024_04_18__14:56:28.416154: Iter 39, FPS: 8.9, STATE: {'speed': 7.406651496887207, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.873265776724704, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.28308384236338824, 'throttle': 0.0, 'brake': 0.24066514968872071}
2024_04_18__14:56:28.524965: Iter 40, FPS: 10.8, STATE: {'speed': 6.78837776184082, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.774600091965361, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2852564963764675, 'throttle': 0.0, 'brake': 0.17883777618408203}
2024_04_18__14:56:28.629903: Iter 41, FPS: 9.2, STATE: {'speed': 6.2427873611450195, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.190255616955822, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.26961720232748787, 'throttle': 0.0, 'brake': 0.12427873611450196}
2024_04_18__14:56:28.772065: Iter 42, FPS: 9.5, STATE: {'speed': 5.778789520263672, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.529368730759181, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.21760740930225392, 'throttle': 0.0, 'brake': 0.07787895202636719}
2024_04_18__14:56:28.873490: Iter 43, FPS: 7.0, STATE: {'speed': 5.455721378326416, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.03174786791197, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.15491798937552864, 'throttle': 0.0, 'brake': 0.04557213783264161}
2024_04_18__14:56:28.985694: Iter 44, FPS: 10.0, STATE: {'speed': 5.304711818695068, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.952481177316441, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.08171917694473624, 'throttle': 0.0, 'brake': 0.030471181869506838}
2024_04_18__14:56:29.139064: Iter 45, FPS: 8.9, STATE: {'speed': 5.110487937927246, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.916083499851197, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.021165968852217887, 'throttle': 0.0, 'brake': 0.01104879379272461}
