2024_04_16__20:27:26.570371: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_16__20:27:39.600092: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09175917491911512, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:39.703119: Iter 1, FPS: 0.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.3083710571581748, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09135179378281166, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:39.802748: Iter 2, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.613414715205467, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09179812439435014, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:39.896453: Iter 3, FPS: 10.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.156683456024796, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09179573363938082, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:39.998329: Iter 4, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.71062966991997, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09181381353265256, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.101818: Iter 5, FPS: 9.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.758666179621827, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09204666188002925, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.189832: Iter 6, FPS: 9.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.684892063074233, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09184137608220277, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.284018: Iter 7, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.408663863214757, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09142887279678957, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.384536: Iter 8, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.731044857838032, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09180527662845805, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.488776: Iter 9, FPS: 10.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.953638486511116, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09181386485065496, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__20:27:40.588746: Iter 10, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.625151170929286, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09205187952601085, 'throttle': 0.0, 'brake': 0.0}
