2024_04_18__16:27:19.418129: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:27:29.807084: Iter 17, FPS: 10.9, STATE: {'status': 'as_driving', 'speed': 5.12089204788208, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.897890992613148, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5463213454545918, 'throttle': 0.0, 'brake': 0.012089204788208009}
2024_04_18__16:27:29.899543: Iter 18, FPS: 12.6, STATE: {'status': 'as_driving', 'speed': 4.921062469482422, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.646320651747864, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.4633435221939803, 'throttle': 0.0, 'brake': 0.012089204788208009}
2024_04_18__16:27:29.993292: Iter 19, FPS: 10.8, STATE: {'status': 'as_driving', 'speed': 4.767861366271973, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.815636926250646, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.40014227118963236, 'throttle': 0.0, 'brake': 0.012089204788208009}
2024_04_18__16:27:30.075075: Iter 20, FPS: 10.7, STATE: {'status': 'as_driving', 'speed': 5.823585510253906, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.666775174714912, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.4262638291672486, 'throttle': 0.0, 'brake': 0.08235855102539064}
2024_04_18__16:27:30.163836: Iter 21, FPS: 12.2, STATE: {'status': 'as_driving', 'speed': 6.5007171630859375, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.227507273585951, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.25981728435350626, 'throttle': 0.0, 'brake': 0.15007171630859376}
2024_04_18__16:27:30.251645: Iter 22, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 7.530806064605713, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266197678697578, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.07459535119716953, 'throttle': 0.0, 'brake': 0.2530806064605713}
2024_04_18__16:27:30.337882: Iter 23, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 8.01368236541748, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.388404978604166, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.04052442265603917, 'throttle': 0.0, 'brake': 0.30136823654174805}
2024_04_18__16:27:30.423690: Iter 24, FPS: 11.6, STATE: {'status': 'as_driving', 'speed': 7.9411797523498535, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.59592485589085, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.11896208582104972, 'throttle': 0.0, 'brake': 0.29411797523498534}
2024_04_18__16:27:30.514344: Iter 25, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.500507831573486, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.517276034873344, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.1506693054258435, 'throttle': 0.0, 'brake': 0.25005078315734863}
2024_04_18__16:27:30.614214: Iter 26, FPS: 11.2, STATE: {'status': 'as_driving', 'speed': 6.832931995391846, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.156220991007046, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.21493989180925194, 'throttle': 0.0, 'brake': 0.18329319953918458}
2024_04_18__16:27:30.708999: Iter 27, FPS: 10.0, STATE: {'status': 'as_driving', 'speed': 6.27374792098999, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.013044184070052, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3040541165286682, 'throttle': 0.0, 'brake': 0.12737479209899902}
2024_04_18__16:27:30.802485: Iter 28, FPS: 10.6, STATE: {'status': 'as_driving', 'speed': 5.773505210876465, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.55014224303814, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.08283511068429295, 'throttle': 0.0, 'brake': 0.07735052108764649}
2024_04_18__16:27:30.889251: Iter 29, FPS: 10.7, STATE: {'status': 'as_driving', 'speed': 5.394317626953125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.696780742089572, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.04139109299085508, 'throttle': 0.0, 'brake': 0.039431762695312504}
2024_04_18__16:27:30.973095: Iter 30, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 5.15900993347168, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.525219551334894, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.006995085161614345, 'throttle': 0.0, 'brake': 0.01590099334716797}
2024_04_18__16:27:31.065316: Iter 31, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 5.044185161590576, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.78721598493684, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.013777258813424398, 'throttle': 0.0, 'brake': 0.004418516159057618}
