2024_04_18__15:14:50.604224: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: serial, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:14:58.343578: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08821203430324936, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.431343: Iter 1, FPS: 0.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6482925977275854, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08776075607503064, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.526090: Iter 2, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.265743769909697, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08816197690299843, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.621181: Iter 3, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.898513970341769, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08774330001163788, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.699969: Iter 4, FPS: 10.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.627612051862231, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08794511851834813, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.782750: Iter 5, FPS: 12.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.692089352611161, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0881697728070805, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.875501: Iter 6, FPS: 12.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.227614213789908, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08794204796590177, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:58.956285: Iter 7, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781551875710107, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08816651521392166, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.045635: Iter 8, FPS: 12.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.378676221029238, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08789547619715504, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.134396: Iter 9, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.31836740201039, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0881574192149065, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.220267: Iter 10, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.388837901390781, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08776430609073305, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.308987: Iter 11, FPS: 11.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.646768075617977, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08794129318428134, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.387804: Iter 12, FPS: 11.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.39802981099773, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08792292636881488, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.474545: Iter 13, FPS: 12.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.528051661773096, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08795536104860785, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.553842: Iter 14, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.663609617192149, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08815512242994217, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.639614: Iter 15, FPS: 12.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.610807105316962, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08791224442874523, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.718402: Iter 16, FPS: 11.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.795868089342866, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08781577786571054, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.817138: Iter 17, FPS: 12.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.533105438985471, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08791709397568187, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:14:59.902945: Iter 18, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.128453482278905, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08792078202596448, 'throttle': 0.0, 'brake': 0.0}
