2024_04_16__19:25:31.679323: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:25:33.241857: Iter 0, FPS: -1.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09171270626937938, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.351109: Iter 1, FPS: 0.6, STATE: {'speed': -7.117992936400697e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.6399653339090671, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09175449235379857, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.452840: Iter 2, FPS: 9.2, STATE: {'speed': 0.7128105759620667, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.238514367778116, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0919932858365487, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.546023: Iter 3, FPS: 9.7, STATE: {'speed': 1.687551498413086, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.734680709832846, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09192769786970034, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.630518: Iter 4, FPS: 10.8, STATE: {'speed': 2.4799773693084717, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.772386267615582, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09153034256065812, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.717547: Iter 5, FPS: 11.9, STATE: {'speed': 3.307063102722168, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.925596947450428, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09192965899535521, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.795340: Iter 6, FPS: 11.5, STATE: {'speed': 4.15089750289917, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.490393861276015, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0919333003912906, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.888187: Iter 7, FPS: 12.9, STATE: {'speed': 4.985000133514404, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.854725163583984, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09222941203976653, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:25:33.982450: Iter 8, FPS: 10.8, STATE: {'speed': 6.115904808044434, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.770366946562925, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09176602654470106, 'throttle': 0.0, 'brake': 0.11159048080444336}
2024_04_16__19:25:34.077962: Iter 9, FPS: 10.6, STATE: {'speed': 7.289849281311035, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.608607676898485, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09181801568629744, 'throttle': 0.0, 'brake': 0.22898492813110352}
2024_04_16__19:25:34.168821: Iter 10, FPS: 10.5, STATE: {'speed': 7.962039470672607, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.463759944716234, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09200212812028152, 'throttle': 0.0, 'brake': 0.2962039470672608}
2024_04_16__19:25:34.275353: Iter 11, FPS: 11.1, STATE: {'speed': 8.41231918334961, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.135251374549007, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09194264321183643, 'throttle': 0.0, 'brake': 0.34123191833496097}
2024_04_16__19:25:34.362351: Iter 12, FPS: 9.3, STATE: {'speed': 8.111660957336426, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.332143723286617, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09148916007564784, 'throttle': 0.0, 'brake': 0.3111660957336426}
2024_04_16__19:25:34.446552: Iter 13, FPS: 11.6, STATE: {'speed': 7.618195533752441, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.577552107629755, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09192997862656199, 'throttle': 0.0, 'brake': 0.26181955337524415}
2024_04_16__19:25:34.538859: Iter 14, FPS: 11.9, STATE: {'speed': 7.065774440765381, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.876430646558804, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09190269928325351, 'throttle': 0.0, 'brake': 0.2065774440765381}
2024_04_16__19:25:34.632523: Iter 15, FPS: 10.8, STATE: {'speed': 6.307109355926514, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.83334796960477, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09222970221278964, 'throttle': 0.0, 'brake': 0.13071093559265137}
2024_04_16__19:25:34.726621: Iter 16, FPS: 10.6, STATE: {'speed': 5.6812872886657715, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.559278979897536, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09177764138455236, 'throttle': 0.0, 'brake': 0.06812872886657716}
2024_04_16__19:25:34.819682: Iter 17, FPS: 10.6, STATE: {'speed': 5.388521194458008, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.632030154855423, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09178907301454575, 'throttle': 0.0, 'brake': 0.03885211944580078}
