2024_04_18__16:26:42.835749: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:26:53.003129: Iter 18, FPS: 8.4, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.355703240638366, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.131843: Iter 19, FPS: 8.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.086153513963701, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.248474: Iter 20, FPS: 7.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.769157531683788, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.378195: Iter 21, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.574047499315189, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.500865: Iter 22, FPS: 7.7, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.7088564554696015, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.627551: Iter 23, FPS: 8.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.151988385133127, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.753692: Iter 24, FPS: 7.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.834607251996802, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:53.875043: Iter 25, FPS: 8.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.987948480133466, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.012672: Iter 26, FPS: 8.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.24055813258989, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.126426: Iter 27, FPS: 7.3, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.265908831059942, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.248386: Iter 28, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.790878604963112, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.377993: Iter 29, FPS: 8.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.199414705094647, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.515664: Iter 30, FPS: 7.7, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.715634893333652, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.623336: Iter 31, FPS: 7.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.21353721478582, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.750056: Iter 32, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.283993465817282, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
