2024_04_16__19:18:29.533687: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:18:31.212425: Iter 0, FPS: -1.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09175225830308742, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.310297: Iter 1, FPS: 0.6, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.5956856115709721, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09170499782005265, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.408316: Iter 2, FPS: 10.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.008385053891987, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09193495713130018, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.506178: Iter 3, FPS: 10.3, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.299468365931219, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09188522735696081, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.606295: Iter 4, FPS: 10.3, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.336500926619612, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09172892825544182, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.690120: Iter 5, FPS: 10.0, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.988293063949971, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09203770561446539, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.784920: Iter 6, FPS: 11.9, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.929667279129431, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09189714748257533, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.871660: Iter 7, FPS: 10.7, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.660729218295272, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09173213655319146, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:31.967372: Iter 8, FPS: 11.5, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.52870422798463, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09203161729582465, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:32.066149: Iter 9, FPS: 10.4, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.44364599751502, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.09190053822186084, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:18:32.157417: Iter 10, FPS: 10.1, STATE: {'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.12397958937373, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0919573218259615, 'throttle': 0.0, 'brake': 0.0}
