2024_04_18__15:11:09.809146: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__15:11:19.600360: Iter 19, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.329312268210266, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381827538820272, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:19.707035: Iter 20, FPS: 11.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.013412597548552, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8382133740521132, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:19.797793: Iter 21, FPS: 9.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.370924535341732, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.837322193166926, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:19.885557: Iter 22, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140693520326176, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8375468911276538, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:19.968338: Iter 23, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.525092875513838, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8373464279361615, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.053110: Iter 24, FPS: 12.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.080055528514526, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8369300878624809, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.142869: Iter 25, FPS: 11.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.658843706654288, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381991897710085, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.228640: Iter 26, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26647004152766, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8373604545796067, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.326378: Iter 27, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524934534653356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381999882759806, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.416141: Iter 28, FPS: 10.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.336857566750952, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.837344511984385, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.505940: Iter 29, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140486384836862, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8369237111882164, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.599876: Iter 30, FPS: 11.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.135931351985684, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8382112392108224, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.689632: Iter 31, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.755066874538443, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8373766027267358, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.777398: Iter 32, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.266802947315263, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381609892093157, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.869729: Iter 33, FPS: 11.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.529845125323686, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8381376771699969, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__15:11:20.961073: Iter 34, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.830606511320443, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.8382240181090124, 'throttle': 0.0, 'brake': 0.0}
