2024_04_16__19:10:08.757901: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:10:09.698251: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.099065612473668, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:09.750070: Iter 1, FPS: 1.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.0645168740598274, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -11.717010257281434, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:09.820184: Iter 2, FPS: 19.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.297997644287396, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -29.51919034377309, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:09.869277: Iter 3, FPS: 14.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 14.262507693510928, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -43.646224375996965, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:09.920476: Iter 4, FPS: 20.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.708215045694, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -136.797882511637, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:09.985856: Iter 5, FPS: 19.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.53182889234523, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.871187831885653, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.035947: Iter 6, FPS: 15.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.248742996957017, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -20.875396033482335, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.085928: Iter 7, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.043218342468567, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -26.80289202385369, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.136029: Iter 8, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.007746834959978, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -87.39054898036596, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.185694: Iter 9, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.959474828805423, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.0905592141325107, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.223623: Iter 10, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.135107629087695, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.342599364240407, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.285459: Iter 11, FPS: 26.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 26.364678668409937, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6172057018037336, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.335716: Iter 12, FPS: 16.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 16.171995249772515, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.6182266409219617, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.385946: Iter 13, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.026757705254614, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.7647680243845274, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.440540: Iter 14, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.06047359182717, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.263653006359556, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.518683: Iter 15, FPS: 18.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 18.31725776374459, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -9.78178818969575, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.585525: Iter 16, FPS: 13.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 13.17203109052367, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.3820648486228406, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.635220: Iter 17, FPS: 15.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 14.9606357631012, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.4272493624749085, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.685210: Iter 18, FPS: 20.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.272033484613413, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.4267200324116291, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.735310: Iter 19, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.964510110049122, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.758399430561238, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.801747: Iter 20, FPS: 20.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.19366020875862, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.713236284458418, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.851667: Iter 21, FPS: 15.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.005917498479482, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.771492218548519, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.901899: Iter 22, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.141392507791377, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.730141397823144, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__19:10:10.951824: Iter 23, FPS: 19.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.887266244357622, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9735713558986122, 'throttle': 0.0, 'brake': 0.0}
