2024_04_18__14:55:12.657200: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:55:27.445646: Iter 0, FPS: -1.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08746349069077702, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:27.566363: Iter 1, FPS: 0.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 0.3505922439637557, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.087530873236362, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:27.687620: Iter 2, FPS: 8.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.215555538144523, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0873203056584636, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:27.778378: Iter 3, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.385354482460805, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08747399137680534, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:27.895033: Iter 4, FPS: 11.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.018273140899682, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08746192655468438, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:27.984789: Iter 5, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.569685453635314, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08729285893516758, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:28.097488: Iter 6, FPS: 11.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26643977834067, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08759427681600751, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:28.194109: Iter 7, FPS: 9.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.95247039538279, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08724155745554674, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:28.308793: Iter 8, FPS: 10.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.34973856096255, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08747614045609564, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:28.407112: Iter 9, FPS: 8.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.796298859542055, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08720100241230055, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__14:55:28.513834: Iter 10, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.068931411876829, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08738749613085639, 'throttle': 0.0, 'brake': 0.0}
