2024_04_16__03:10:18.495236: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__03:10:20.440631: Iter 20, FPS: 19.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.361423981683224, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -8.713236284458418, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.486799: Iter 21, FPS: 25.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 25.189350853697352, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.771492218548519, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.548858: Iter 22, FPS: 21.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.65987069054554, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.730141397823144, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.586517: Iter 23, FPS: 16.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 16.11390328516929, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9735713558986122, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.650797: Iter 24, FPS: 26.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 26.5541268605218, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.9735523647768951, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.698776: Iter 25, FPS: 15.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.556930380920589, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.534587482610867, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.750669: Iter 26, FPS: 20.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.842401323799066, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.3320842642063362, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.801651: Iter 27, FPS: 19.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.270334840298453, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.5132453946832567, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.836564: Iter 28, FPS: 19.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.61485832401921, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.6449036152090504, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.899126: Iter 29, FPS: 28.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 28.64218303992133, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.9381805587561696, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:20.950834: Iter 30, FPS: 15.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.722606449774899, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.367354746013662, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.000021: Iter 31, FPS: 19.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.73650801119921, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.342442727633753, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.054203: Iter 32, FPS: 20.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.330893544415467, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 3.9003497681628887, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.099423: Iter 33, FPS: 18.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 18.456133557454525, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 5.2664953030939, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.153580: Iter 34, FPS: 22.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.11427516937759, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 13.376768053506254, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.217703: Iter 35, FPS: 18.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 18.464989940523623, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.6465406249416972, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.259023: Iter 36, FPS: 15.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.594990927749189, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.658278903798252, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.318222: Iter 37, FPS: 24.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.20102590141422, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.663421296304744, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.365597: Iter 38, FPS: 16.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 16.892354286818957, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.1100288959273188, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.417535: Iter 39, FPS: 21.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.10808933801697, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.505577132972033, 'throttle': 0.0, 'brake': 0.0}
