2024_04_18__16:33:04.709778: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:33:14.448467: Iter 17, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.150839805603027, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.273647005066591, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.040308215290766114, 'throttle': 0.0, 'brake': 0.015083980560302735}
2024_04_18__16:33:14.535270: Iter 18, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 4.978094577789307, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.791921685273536, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.02136718552779654, 'throttle': 0.0, 'brake': 0.015083980560302735}
2024_04_18__16:33:14.627866: Iter 19, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 4.804893970489502, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.520281256866623, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.0008555080254752379, 'throttle': 0.0, 'brake': 0.015083980560302735}
2024_04_18__16:33:14.709796: Iter 20, FPS: 10.8, STATE: {'status': 'as_driving', 'speed': 5.706442832946777, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.799679689370786, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.03025713944226871, 'throttle': 0.0, 'brake': 0.07064428329467774}
2024_04_18__16:33:14.801756: Iter 21, FPS: 12.1, STATE: {'status': 'as_driving', 'speed': 6.408997535705566, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.058280339010338, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.2890020071141593, 'throttle': 0.0, 'brake': 0.14089975357055665}
2024_04_18__16:33:14.888523: Iter 22, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 7.491788864135742, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.993840330892182, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.26015872029899517, 'throttle': 0.0, 'brake': 0.24917888641357422}
2024_04_18__16:33:14.974359: Iter 23, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 8.039454460144043, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.52518788211857, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.24364408592592784, 'throttle': 0.0, 'brake': 0.3039454460144043}
2024_04_18__16:33:15.063100: Iter 24, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 7.847258567810059, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.650100132491536, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.2206509196158264, 'throttle': 0.0, 'brake': 0.28472585678100587}
2024_04_18__16:33:15.147830: Iter 25, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 7.259122848510742, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.268679693398065, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.16879622248284482, 'throttle': 0.0, 'brake': 0.22591228485107423}
2024_04_18__16:33:15.234635: Iter 26, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 6.785665512084961, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.802207758953017, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.08120908510312336, 'throttle': 0.0, 'brake': 0.1785665512084961}
2024_04_18__16:33:15.319407: Iter 27, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 6.225992202758789, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.520154689577131, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03859894057965224, 'throttle': 0.0, 'brake': 0.12259922027587891}
