2024_04_16__19:27:17.588537: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:27:20.931395: Iter 19, FPS: 10.9, STATE: {'speed': 4.897419452667236, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.89010977598222, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.34417567273643196, 'throttle': 0.0, 'brake': 0.01046133041381836}
2024_04_16__19:27:21.023212: Iter 20, FPS: 10.6, STATE: {'speed': 4.952239036560059, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.564305612226907, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.34994760221715465, 'throttle': 0.0, 'brake': 0.01046133041381836}
2024_04_16__19:27:21.113699: Iter 21, FPS: 11.0, STATE: {'speed': 5.761322975158691, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.979307311939982, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.32409843999226123, 'throttle': 0.0, 'brake': 0.07613229751586914}
2024_04_16__19:27:21.210466: Iter 22, FPS: 11.1, STATE: {'speed': 6.820591449737549, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.051252595301582, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2717706252964137, 'throttle': 0.0, 'brake': 0.1820591449737549}
2024_04_16__19:27:21.306186: Iter 23, FPS: 10.3, STATE: {'speed': 7.5836687088012695, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.33408151851204, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.17675507679417152, 'throttle': 0.0, 'brake': 0.25836687088012694}
2024_04_16__19:27:21.399976: Iter 24, FPS: 10.4, STATE: {'speed': 8.166584014892578, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.447235817921415, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.11353105757952975, 'throttle': 0.0, 'brake': 0.31665840148925783}
2024_04_16__19:27:21.495718: Iter 25, FPS: 10.7, STATE: {'speed': 7.836849212646484, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.662057114386378, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.045204723978407524, 'throttle': 0.0, 'brake': 0.28368492126464845}
2024_04_16__19:27:21.591745: Iter 26, FPS: 10.4, STATE: {'speed': 7.18631649017334, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.444738290364594, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.027809843153141667, 'throttle': 0.0, 'brake': 0.218631649017334}
2024_04_16__19:27:21.685494: Iter 27, FPS: 10.4, STATE: {'speed': 6.6924285888671875, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.413774781820665, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.17590586372853878, 'throttle': 0.0, 'brake': 0.16924285888671875}
2024_04_16__19:27:21.771423: Iter 28, FPS: 10.8, STATE: {'speed': 6.073858737945557, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781468733693375, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.22923305963509205, 'throttle': 0.0, 'brake': 0.10738587379455566}
