               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027241,            0.019314,            0.002163,             0.89653,             0.67453,             0.74951,             0.39727,            0.030089,            0.026701,           0.0017625,            0.006535,            0.006535,            0.006535
                  37,            0.027154,            0.019887,           0.0021806,             0.90374,             0.66874,             0.75251,             0.40782,             0.02935,            0.026314,           0.0017969,            0.006436,            0.006436,            0.006436
                  38,            0.027046,             0.02009,           0.0021198,             0.86212,             0.68332,             0.74493,             0.40453,            0.029497,            0.026441,           0.0016177,            0.006337,            0.006337,            0.006337
                  39,            0.027149,            0.019522,           0.0019944,             0.88137,             0.69169,              0.7511,               0.392,            0.030308,            0.026624,           0.0020232,            0.006238,            0.006238,            0.006238
                  40,             0.02749,            0.019899,           0.0020981,             0.89213,             0.68125,             0.74883,             0.40455,             0.02917,            0.026646,           0.0017098,            0.006139,            0.006139,            0.006139
                  41,            0.027145,            0.019315,           0.0020688,             0.89556,             0.67628,             0.74904,             0.40456,            0.029336,            0.026182,           0.0016306,             0.00604,             0.00604,             0.00604
                  42,            0.027183,            0.019529,           0.0021851,             0.90402,             0.68253,             0.76234,             0.40974,            0.028833,            0.026186,           0.0015222,            0.005941,            0.005941,            0.005941
                  43,            0.027098,            0.019667,           0.0021212,             0.88439,             0.68275,             0.74868,             0.40549,            0.028896,            0.025963,           0.0022322,            0.005842,            0.005842,            0.005842
                  44,            0.026215,            0.019702,           0.0019581,             0.90307,             0.68136,              0.7577,             0.41142,            0.029177,            0.026119,           0.0015921,            0.005743,            0.005743,            0.005743
                  45,            0.026143,             0.01929,           0.0020767,             0.90816,             0.67449,             0.75398,             0.40047,            0.029146,            0.026231,           0.0016082,            0.005644,            0.005644,            0.005644
                  46,            0.026133,            0.019018,           0.0019211,             0.91094,             0.67791,             0.75585,             0.41735,            0.029165,            0.026437,           0.0016916,            0.005545,            0.005545,            0.005545
                  47,            0.025629,            0.018723,           0.0018317,             0.90742,             0.68748,             0.76826,              0.4218,            0.029057,            0.026325,           0.0015807,            0.005446,            0.005446,            0.005446
                  48,            0.026133,            0.019394,           0.0019741,             0.88826,             0.69694,             0.77425,             0.41522,            0.029137,            0.026078,           0.0025123,            0.005347,            0.005347,            0.005347
                  49,            0.025314,            0.019208,           0.0019673,             0.88749,             0.68934,             0.75789,             0.41655,            0.028709,            0.025983,           0.0016244,            0.005248,            0.005248,            0.005248
                  50,            0.025307,            0.018337,           0.0019456,             0.91892,             0.68388,             0.76678,             0.41269,             0.02877,            0.026041,           0.0015326,            0.005149,            0.005149,            0.005149
                  51,            0.025187,            0.018769,           0.0019805,             0.91196,             0.70832,             0.77228,             0.42112,            0.028477,             0.02574,           0.0014361,             0.00505,             0.00505,             0.00505
                  52,            0.025358,            0.019233,           0.0020741,             0.90206,             0.70078,             0.76737,             0.41533,            0.028719,            0.026124,           0.0019445,            0.004951,            0.004951,            0.004951
